,timestamps,emg_signal
0,1693452634.99,521.1396623063404
1,1693452634.99,521.698593828012
2,1693452635.01,520.9764886975539
3,1693452635.02,519.5301230510294
4,1693452635.04,519.7320563678912
5,1693452635.04,521.9485646939095
6,1693452635.06,522.3989602931637
7,1693452635.08,522.4008409139952
8,1693452635.09,520.533354098233
9,1693452635.11,522.6056791268306
10,1693452635.12,520.4956102751645
11,1693452635.13,521.7774991679095
12,1693452635.14,521.3948346806908
13,1693452635.16,521.5290952445541
14,1693452635.17,522.0935309840867
15,1693452635.19,521.0192704567784
16,1693452635.19,523.1335354414437
17,1693452635.21,522.3704211274683
18,1693452635.23,521.2080839381564
19,1693452635.24,521.7291674854813
20,1693452635.26,520.8283982432648
21,1693452635.27,521.2690612731436
22,1693452635.28,521.5065741503314
23,1693452635.3,521.3115211493507
24,1693452635.31,521.0354507378444
25,1693452635.32,520.8700448191006
26,1693452635.34,521.7205238127424
27,1693452635.36,520.8060947766605
28,1693452635.37,522.6963624332769
29,1693452635.37,521.722785825543
30,1693452635.39,523.2216815172194
31,1693452635.41,520.1040841229824
32,1693452635.42,518.4424936974636
33,1693452635.43,518.0548264108968
34,1693452635.44,521.459744555454
35,1693452635.46,517.1713447256471
