,timestamps,emg_signal
0,1694148470.79,440.317845612409
1,1694148470.81,446.0203583832358
2,1694148470.82,445.5444374976746
3,1694148470.83,434.4976920637534
4,1694148470.85,442.2499865269111
5,1694148470.85,442.5741569289225
6,1694148470.87,440.9579038244305
7,1694148470.89,441.75873477024294
8,1694148470.9,443.554056054996
9,1694148470.92,445.03909826174277
10,1694148470.93,448.6489221612227
11,1694148470.94,441.73491498047514
12,1694148470.95,442.3027386592984
13,1694148470.97,447.51058175034836
14,1694148470.98,440.48724390288936
15,1694148471.0,446.45176504174356
16,1694148471.0,446.66902075362395
17,1694148471.03,443.7561955104938
18,1694148471.04,449.30410707932964
19,1694148471.04,448.9813813259354
20,1694148471.06,442.6269520121422
21,1694148471.08,450.73516139051185
22,1694148471.09,446.7788288656371
23,1694148471.11,440.5042459927626
24,1694148471.12,440.55901068063287
25,1694148471.13,447.55003664492347
26,1694148471.15,444.991044967214
27,1694148471.15,452.2717468890243
28,1694148471.17,450.99029441317793
29,1694148471.19,460.5151717697838
30,1694148471.2,459.6255268491488
31,1694148471.22,455.35135310901575
32,1694148471.23,458.4955534698185
33,1694148471.24,457.4992351072324
34,1694148471.26,466.64618061098565
35,1694148471.28,457.8819996323673
36,1694148471.28,457.1817367355157
37,1694148471.3,459.79439996196515
38,1694148471.31,454.05238988948764
39,1694148471.33,457.5966054340509
40,1694148471.33,449.4049531446087
41,1694148471.35,442.4182453508473
42,1694148471.37,441.0864985030245
43,1694148471.38,438.64287390895987
44,1694148471.4,440.2998164397879
45,1694148471.41,441.4482133094591
46,1694148471.43,446.65818721163873
47,1694148471.44,438.5531575307888
48,1694148471.45,439.66449999371173
49,1694148471.47,434.01462318341834
50,1694148471.48,443.0574264501062
51,1694148471.5,451.4212379319177
52,1694148471.5,452.39466354044725
53,1694148471.51,462.6705115922179
54,1694148471.53,468.89552079209216
55,1694148471.55,470.2933440294983
56,1694148471.57,482.07214696165653
57,1694148471.57,483.90953571740926
58,1694148471.59,480.53458537581525
59,1694148471.6,483.7720134391103
60,1694148471.62,486.7685564726487
61,1694148471.63,494.3044552672295
62,1694148471.65,477.6670638403455
63,1694148471.65,477.20966410571316
64,1694148471.66,476.85495125049636
65,1694148471.68,466.9863453732388
66,1694148471.7,466.8614471026363
67,1694148471.7,454.8416786122382
68,1694148471.72,452.5646156593819
69,1694148471.75,440.03187015733795
70,1694148471.75,432.3019011603767
71,1694148471.77,430.14950735851664
72,1694148471.78,424.3728331242279
73,1694148471.8,415.76873229725004
74,1694148471.8,415.48921213918567
75,1694148471.82,415.4330238504248
76,1694148471.83,414.32278945550394
77,1694148471.85,404.99924188585436
78,1694148471.85,417.29509168867577
79,1694148471.87,409.4569969549934
80,1694148471.89,409.2399513489794
81,1694148471.9,423.92273114676266
82,1694148471.92,424.4966986724872
83,1694148471.93,423.4910043452945
84,1694148471.95,434.64273579288056
85,1694148471.95,440.0891649605741
86,1694148471.97,439.3270716608816
87,1694148471.99,440.81205957682556
88,1694148472.0,450.39802740838405
89,1694148472.02,446.9803512985755
