,timestamps,emg_signal
0,1694141069.61,433.6312675219182
1,1694141069.61,436.2590374189829
2,1694141069.63,435.3278484660589
3,1694141069.64,438.43090407175276
4,1694141069.66,433.94646361392654
5,1694141069.68,438.09574149438436
6,1694141069.68,437.67855402572013
7,1694141069.7,435.53261099120465
8,1694141069.72,434.11809827285936
9,1694141069.73,437.3868196469096
10,1694141069.74,440.313199125173
11,1694141069.75,436.74755550714895
12,1694141069.77,433.60109155015084
13,1694141069.78,435.5702214756688
14,1694141069.8,434.32398581477526
15,1694141069.82,435.86129263172086
16,1694141069.82,430.23363322213936
17,1694141069.83,433.25414106303526
18,1694141069.86,430.21461923724695
19,1694141069.87,429.0242306030587
20,1694141069.88,426.5317549468218
21,1694141069.9,426.5252448956564
22,1694141069.9,423.0438839218826
23,1694141069.91,423.7804820075286
24,1694141069.94,421.52714125126425
25,1694141069.95,428.3559204674424
26,1694141069.95,422.9310071603261
27,1694141069.97,420.33477916371817
28,1694141069.98,418.9419978506248
29,1694141070.0,425.2056933764621
30,1694141070.01,423.3126472905701
31,1694141070.03,423.8866463380931
32,1694141070.05,417.4270948742623
33,1694141070.05,420.4032336711477
34,1694141070.07,419.01145882529573
35,1694141070.08,423.9937424989544
36,1694141070.1,421.7429828825272
37,1694141070.12,422.50118293357593
38,1694141070.12,418.8164990628087
39,1694141070.14,420.70061248083056
40,1694141070.15,419.3539146533509
41,1694141070.17,424.3856571103625
42,1694141070.19,425.1524394488707
43,1694141070.2,426.7493966443836
44,1694141070.21,428.3735536564961
45,1694141070.23,422.89883080899733
46,1694141070.24,427.3213591372956
47,1694141070.25,417.7483146961554
